time,open,high,low,close,tick_volume,spread,real_volume
2025-09-11 21:00:00,0.59715,0.5973,0.5971,0.59728,91,2,0
2025-09-11 21:03:00,0.59727,0.59732,0.59722,0.59727,104,2,0
2025-09-11 21:06:00,0.59728,0.59733,0.59721,0.59722,80,2,0
2025-09-11 21:09:00,0.59723,0.59743,0.59722,0.59742,90,2,0
2025-09-11 21:12:00,0.59741,0.59743,0.59734,0.59742,59,2,0
2025-09-11 21:15:00,0.59741,0.59744,0.5973,0.59732,101,2,0
2025-09-11 21:18:00,0.59731,0.59736,0.59722,0.59724,81,2,0
2025-09-11 21:21:00,0.59724,0.59735,0.59724,0.59732,102,2,0
2025-09-11 21:24:00,0.59731,0.59737,0.59728,0.59731,89,2,0
2025-09-11 21:27:00,0.5973,0.59735,0.59729,0.59732,68,2,0
2025-09-11 21:30:00,0.59733,0.59735,0.59725,0.59729,83,2,0
2025-09-11 21:33:00,0.59729,0.59733,0.59721,0.59722,85,2,0
2025-09-11 21:36:00,0.59723,0.59726,0.59713,0.59723,116,2,0
2025-09-11 21:39:00,0.59722,0.59734,0.59718,0.5973,84,2,0
2025-09-11 21:42:00,0.59731,0.59738,0.59726,0.5973,97,2,0
2025-09-11 21:45:00,0.59731,0.59736,0.59731,0.59733,57,2,0
2025-09-11 21:48:00,0.59735,0.59743,0.59734,0.59743,77,2,0
2025-09-11 21:51:00,0.59742,0.59752,0.59738,0.59752,63,2,0
2025-09-11 21:54:00,0.59751,0.59751,0.5974,0.59745,71,2,0
2025-09-11 21:57:00,0.59746,0.59753,0.59733,0.59735,104,2,0
2025-09-11 22:00:00,0.59736,0.59737,0.59727,0.59735,109,2,0
2025-09-11 22:03:00,0.59735,0.59747,0.5973,0.59741,80,2,0
2025-09-11 22:06:00,0.59741,0.59753,0.59741,0.59746,80,2,0
2025-09-11 22:09:00,0.59746,0.59749,0.59739,0.5974,80,2,0
2025-09-11 22:12:00,0.59739,0.59742,0.5973,0.59731,75,2,0
2025-09-11 22:15:00,0.59731,0.59745,0.59729,0.59744,71,2,0
2025-09-11 22:18:00,0.59745,0.59745,0.59738,0.59743,72,2,0
2025-09-11 22:21:00,0.59742,0.59745,0.59739,0.59741,61,2,0
2025-09-11 22:24:00,0.5974,0.59756,0.59738,0.59752,97,2,0
2025-09-11 22:27:00,0.59751,0.59769,0.59749,0.59768,74,2,0
2025-09-11 22:30:00,0.59768,0.59769,0.5975,0.59759,74,2,0
2025-09-11 22:33:00,0.5976,0.59764,0.59754,0.59755,76,2,0
2025-09-11 22:36:00,0.59755,0.59759,0.59749,0.59756,81,2,0
2025-09-11 22:39:00,0.59756,0.59762,0.59752,0.59758,73,2,0
2025-09-11 22:42:00,0.59759,0.59767,0.59753,0.59763,90,2,0
2025-09-11 22:45:00,0.59764,0.59768,0.59759,0.59761,56,2,0
2025-09-11 22:48:00,0.59759,0.59773,0.59757,0.59772,57,2,0
2025-09-11 22:51:00,0.59771,0.59771,0.59763,0.59763,77,2,0
2025-09-11 22:54:00,0.59764,0.59769,0.59759,0.59767,80,2,0
2025-09-11 22:57:00,0.59768,0.59776,0.59758,0.5976,69,2,0
2025-09-11 23:00:00,0.59762,0.59768,0.59758,0.59764,48,2,0
2025-09-11 23:03:00,0.59765,0.5978,0.59764,0.59774,55,2,0
2025-09-11 23:06:00,0.59774,0.59788,0.59774,0.59785,72,2,0
2025-09-11 23:09:00,0.59784,0.59788,0.59782,0.59783,64,2,0
2025-09-11 23:12:00,0.59782,0.59784,0.59778,0.59783,65,2,0
2025-09-11 23:15:00,0.59784,0.59787,0.59779,0.59785,56,2,0
2025-09-11 23:18:00,0.59785,0.59791,0.59781,0.59785,55,2,0
2025-09-11 23:21:00,0.59784,0.59785,0.59783,0.59784,8,2,0
2025-09-11 23:24:00,0.59784,0.59792,0.59783,0.59791,41,2,0
2025-09-11 23:27:00,0.59791,0.59795,0.59787,0.59787,36,2,0
2025-09-11 23:30:00,0.59788,0.59798,0.59779,0.59779,68,2,0
