time,open,high,low,close,tick_volume,spread,real_volume
2025-09-11 21:00:00,147.289,147.302,147.272,147.285,135,8,0
2025-09-11 21:03:00,147.286,147.287,147.263,147.264,135,9,0
2025-09-11 21:06:00,147.263,147.274,147.239,147.261,100,9,0
2025-09-11 21:09:00,147.262,147.262,147.239,147.245,106,8,0
2025-09-11 21:12:00,147.244,147.266,147.244,147.265,126,8,0
2025-09-11 21:15:00,147.267,147.276,147.261,147.274,120,9,0
2025-09-11 21:18:00,147.275,147.306,147.271,147.296,140,9,0
2025-09-11 21:21:00,147.294,147.294,147.268,147.284,166,10,0
2025-09-11 21:24:00,147.285,147.3,147.283,147.284,127,10,0
2025-09-11 21:27:00,147.283,147.288,147.272,147.283,122,10,0
2025-09-11 21:30:00,147.282,147.288,147.272,147.282,115,9,0
2025-09-11 21:33:00,147.283,147.295,147.273,147.294,132,9,0
2025-09-11 21:36:00,147.293,147.294,147.273,147.275,171,9,0
2025-09-11 21:39:00,147.274,147.277,147.261,147.264,128,9,0
2025-09-11 21:42:00,147.262,147.27,147.245,147.263,172,9,0
2025-09-11 21:45:00,147.264,147.265,147.237,147.242,140,10,0
2025-09-11 21:48:00,147.243,147.243,147.219,147.219,163,10,0
2025-09-11 21:51:00,147.22,147.229,147.152,147.152,246,11,0
2025-09-11 21:54:00,147.153,147.174,147.152,147.164,193,11,0
2025-09-11 21:57:00,147.163,147.179,147.148,147.175,215,10,0
2025-09-11 22:00:00,147.176,147.183,147.15,147.152,255,10,0
2025-09-11 22:03:00,147.151,147.152,147.12,147.12,163,9,0
2025-09-11 22:06:00,147.122,147.123,147.089,147.097,182,10,0
2025-09-11 22:09:00,147.098,147.123,147.096,147.121,164,8,0
2025-09-11 22:12:00,147.122,147.13,147.11,147.114,123,8,0
2025-09-11 22:15:00,147.113,147.12,147.097,147.098,73,8,0
2025-09-11 22:18:00,147.095,147.105,147.091,147.099,137,8,0
2025-09-11 22:21:00,147.101,147.117,147.093,147.117,139,8,0
2025-09-11 22:24:00,147.116,147.138,147.101,147.132,187,8,0
2025-09-11 22:27:00,147.131,147.149,147.131,147.142,154,9,0
2025-09-11 22:30:00,147.143,147.189,147.143,147.17,151,11,0
2025-09-11 22:33:00,147.171,147.179,147.162,147.179,85,8,0
2025-09-11 22:36:00,147.181,147.188,147.162,147.166,112,11,0
2025-09-11 22:39:00,147.165,147.173,147.151,147.156,112,10,0
2025-09-11 22:42:00,147.154,147.183,147.153,147.176,173,10,0
2025-09-11 22:45:00,147.175,147.182,147.153,147.155,106,9,0
2025-09-11 22:48:00,147.156,147.156,147.138,147.145,137,9,0
2025-09-11 22:51:00,147.144,147.154,147.143,147.15,115,8,0
2025-09-11 22:54:00,147.149,147.192,147.149,147.162,172,9,0
2025-09-11 22:57:00,147.158,147.171,147.143,147.164,199,10,0
2025-09-11 23:00:00,147.163,147.17,147.153,147.167,116,9,0
2025-09-11 23:03:00,147.166,147.183,147.163,147.182,161,8,0
2025-09-11 23:06:00,147.181,147.186,147.15,147.157,118,10,0
2025-09-11 23:09:00,147.156,147.184,147.152,147.175,114,8,0
2025-09-11 23:12:00,147.174,147.189,147.165,147.166,117,7,0
2025-09-11 23:15:00,147.167,147.174,147.153,147.153,89,7,0
2025-09-11 23:18:00,147.154,147.163,147.15,147.163,87,7,0
2025-09-11 23:21:00,147.16,147.178,147.157,147.172,108,7,0
2025-09-11 23:24:00,147.171,147.176,147.162,147.164,80,8,0
2025-09-11 23:27:00,147.165,147.175,147.161,147.175,110,7,0
2025-09-11 23:30:00,147.174,147.186,147.133,147.142,144,9,0
2025-09-11 23:33:00,147.146,147.155,147.13,147.13,86,10,0
2025-09-11 23:36:00,147.129,147.141,147.119,147.135,76,9,0
2025-09-11 23:39:00,147.134,147.182,147.125,147.18,124,9,0
2025-09-11 23:42:00,147.18,147.182,147.16,147.163,68,17,0
2025-09-11 23:45:00,147.162,147.2,147.161,147.193,203,17,0
2025-09-11 23:48:00,147.192,147.206,147.184,147.197,106,17,0
2025-09-11 23:51:00,147.196,147.201,147.16,147.197,138,17,0
2025-09-11 23:54:00,147.193,147.221,147.192,147.217,148,17,0
